IA10800,01JAN2015,6:35
IA10801,01JAN2015,9:35
IA10802,01JAN2015,12:35
IA10803,01JAN2015,15:35
IA10804,01JAN2015,18:35
IA10805,01JAN2015,21:35
IA10800,01JAN2015,6:35
IA10801,01JAN2015,9:35
IA10802,01JAN2015,12:35
IA10803,01JAN2015,15:35
IA10804,01JAN2015,18:35
IA10805,01JAN2015,21:35
IA10800,01JAN2015,6:35
IA10801,01JAN2015,9:35
IA10802,01JAN2015,12:35
IA10803,01JAN2015,15:35
IA10804,01JAN2015,18:35
IA10805,01JAN2015,21:35
IA10800,01JAN2015,6:35
IA10801,01JAN2015,9:35
IA10802,01JAN2015,12:35
IA10803,01JAN2015,15:35
IA10804,01JAN2015,18:35
IA10805,01JAN2015,21:35
IA10800,01JAN2015,6:35
